id;codigo;nome;semestre;horas;requisitos;corequisitos;area;tipo;horario
pcp;EPR0002;PLANEJAMENTO E CONTROLE DA PRODUCAO;7;60;EPR0072;EPR0001;prodesp;OBG;2N1234
psp4;EPR0001;PROJETO DE SISTEMAS DE PRODUCAO 4;7;30;EPR0073;EPR0002;projetos;OBG;4N34
simulacao;EPR0004;SIMULACAO DE SISTEMAS;7;60;EPR0066;;prodesp;OBG;35N12
seguranca;EPR0006;SEGURANCA E SAUDE NO TRABALHO;7;60;EPR0068 OU EPR0057 OU EPR0073;;humanas;OBG;35N34
qualidade;EPR0030;GESTAO DA QUALIDADE NA PRODUCAO;8;60;EST0023;EPR0007;prodesp;OBG;35N12
psp5;EPR0007;PROJETO DE SISTEMAS DE PRODUCAO 5;8;30;EPR0073 E EPR0066 E EPR0064;EPR0030;projetos;OBG;3N34
ergosist;EPR0077;ERGONOMIA DE SISTEMAS PRODUTIVOS;8;60;;;humanas;OBG;4N1234
logistica;EPR0012;LOGISTICA;9;60;EPR0066;;prodesp;OBG;3N1234
engproduto;EPR0013;ENGENHARIA DO PRODUTO;9;60;EPR0002 OU ENM0134 OU ENM0124;EPR0008;prodesp;OBG;24N12
psp6;EPR0008;PROJETO DE SISTEMAS DE PRODUCAO 6;9;30;EPR0073 E EPR0066 E EPR0064 OU ENM0134 OU ENM0124;EPR0013;projetos;OBG;2N34, 4N34
estrategica;EPR0065;GESTAO ESTRATEGICA;10;60;;EPR0009;prodesp;OBG;6N1234
psp7;EPR0009;PROJETO DE SISTEMAS DE PRODUCAO 7;10;30;EPR0073 E EPR0066 E EPR0064;EPR0065;projetos;OBG;3N34
desenhomec1;ENM0131;DESENHO MEC. ASSIST. 1;97;90;;;seletiva-chave;OPT;Nao Ofertada
desenhomec2;ENM0190;DESENHO MECANICO PARA ENGENHARIA;97;60;;;seletiva-chave;OPT;35T45, 46M12, 6N1234
algebralin1;MAT0127;ALGEBRA LINEAR E GEOMETRIA ANALITICA;97;90;;;seletiva-chave;OPT;Nao Ofertada
algebralin2;MAT0031;INTRODUCAO A ALGEBRA LINEAR;97;60;;;seletiva-chave;OPT;24M34, 24T45, 35M12, 35N12, 35T45, 46M34, 46T23
comp1;ENE0334;COMPUTACAO PARA ENGENHARIA;97;60;;;seletiva-chave;OPT;35T45, 46M34
comp2;CIC0007;INTRODUCAO A CIENCIA DA COMPUTACAO;97;60;;;seletiva-chave;OPT;35T23, 3N12, 3T23, 46T45, 4N34, 4T45, 5T23, 6T45
mecsol1;ENC0035;INTRODUCAO A MECANICA DOS SOLIDOS;97;60;IFD0171+MAT0026+MAT0031 OU IFD0171+MAT0025+MAT0039 OU IFD0171+MAT0025+MAT0127;;seletiva-chave;OPT;24M34, 24T23, 46M12, 46N12
mecsol2;ENC0132;MECANICA DOS SOLIDOS 1;97;60;IFD0171+MAT0026+MAT0031 OU IFD0171+MAT0025+MAT0039 OU IFD0171+MAT0025+MAT0127;;seletiva-chave;OPT;24T23, 46M34
estagio;EPR0010;ESTAGIO SUPERVISIONADO;99;180;EPR0004 E EPR0002 E EPR0006;;projetos;OBG;Nao Ofertada
tcc1;EPR0045;PROJETO DE GRADUACAO 1;99;30;EPR0004 E EPR0002 E EPR0030 E EPR0006;;projetos;OBG;Nao Ofertada
tcc2;EPR0046;PROJETO DE GRADUACAO 2;99;30;EPR0045 OU EPR0088;;projetos;OBG;Nao Ofertada
adm0023;ADM0023;INTRODUCAO A ADMINISTRACAO;98;60;;;humanas;OPT;24M34, 24N12, 24N34, 2M34, 35M12, 35M34, 35N34, 35T23, 35T45, 3T23, 4M34, 4T2345, 5T23, 6N1234, 7M1234
adm0064;ADM0064;ADMINISTRACAO DE MARKETING;98;60;ADM0023 OU DIN0023;;humanas;OPT;24M12, 24N12, 35N12, 35T23
adm0070;ADM0070;GOVERNO E ADMINISTRACAO NO BRASIL;98;60;;;humanas;OPT;35N12
adm0092;ADM0092;ADMINISTRACAO DA PRODUCAO E OPERACOES;98;60;ADM0023;;humanas;OPT;24N34, 35M12, 35M34, 6T2345
bot0004;BOT0004;INTRODUCAO A ANATOMIA VEGETAL;98;60;BOT0049 OU BOT0021 OU BOT0044 OU ICB0250 OU ICB0251;;humanas;OPT;24M12, 25M12, 2M12, 2M1234, 3M34, 4N1234, 5M34
bot0006;BOT0006;ANATOMIA DAS MADEIRAS;98;60;BOT0004 OU BOT0042;;humanas;OPT;45M12, 45M34
bot0020;BOT0020;MORFOLOGIA E TAXONOMIA DAS CRIPTOGAMAS;98;60;;;humanas;OPT;2T2345, 3N1234
bot0044;BOT0044;ORGANOGRAFIA E SISTEMATICA FANEROFITICA;98;60;;;humanas;OPT;3T2345, 4M1234, 4N1234, 5M1234, 6M1234, 6T2345
cic0142;CIC0142;INFORMATICA E SOCIEDADE;98;30;;;exatas;OPT;6T23
dpg0690;DPG0690;INTRODUCAO A EXPLORACAO OFFSHORE;98;30;;;prodesp;OPT;Nao Ofertada
eco0050;ECO0050;CONTABILIDADE NACIONAL;98;60;;;humanas;OPT;24N12, 35M12, 35M34
eco0072;ECO0072;ECONOMIA BRASILEIRA;98;60;ECO0019;;humanas;OPT;35N34, 35T45, 46T23
efl0044;EFL0044;TECNOLOGIA DE PRODUTOS FLORESTAIS;98;60;EFL0049;;humanas;OPT;5M1234
efl0049;EFL0049;TECNOLOGIA DA MADEIRA;98;60;BOT0006 E EST0027 E EFL0010 OU EFL0160;;humanas;OPT;35M12
enc0037;ENC0037;TRANSFERENCIA DE ENERGIA E MASSA;98;75;MAT0027 E ENC0132 OU MAT0027 E ENC0035;;prodesp;OPT;2T123, 2T45, 4T23, 4T456
enc0053;ENC0053;DESENHO TECNICO;98;60;;;prodesp;OPT;24T23, 24T45, 35M12, 35M34, 35T23, 35T45, 4M34, 6M12, 6T2345
enc0166;ENC0166;HIDROLOGIA APLICADA;98;60;ENM0080 E EST0023 E IGD0043 OU ENM0080 E EST0023 E IGD0183 OU ENM0080 E ENC0267 E ENC0274 OU ENM0080 E ENC0267 E EST0023 OU ENC0037 E EST0023 E IGD0043 OU ENC0037 E EST0023 E IGD0183 OU ENC0037 E ENC0267 E ENC0274 OU ENC0037 E ENC0267 E EST0023 OU ENC0289 E ENC0274 E ENC0290;;prodesp;OPT;35N1, 35T23, 35T6
enc0267;ENC0267;CARTOGRAFIA E GEOPROCESSAMENTO APLICADO;98;60;IGD0173 E ENC0053 OU IGD0021 E ENC0053;;prodesp;OPT;35T45
enc0274;ENC0274;ESTATISTICA APLICADA A ENGENHARIA AMBIENTAL;98;60;MAT0027;;prodesp;OPT;24T23
ene0001;ENE0001;ELETRICIDADE BASICA;98;60;MAT0027 E MAT0031;;prodesp;OPT;35M12, 35M34
ene0002;ENE0002;LABORATORIO DE ELETRICIDADE BASICA;98;30;MAT0027 E MAT0031;;prodesp;OPT;2T23, 2T45, 3T23, 3T45
ene0013;ENE0013;ALGORITMOS E ESTRUTURA DE DADOS;98;60;ENE0334;;prodesp;OPT;24M34
